
DECIMAL       HEXADECIMAL     DESCRIPTION
660232        0xA1308         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1010e00, 9200-04-31, rev 0x4000400, size 327680
660294        0xA1346         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1010e01, 8600-02-31, rev 0x2000200, size 184877056
660383        0xA139F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 23593600
660418        0xA13C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
660471        0xA13F7         Intel x86 or x64 microcode, sig 0x01e0888f, pf_mask 0x31920004, 0400-07-04, size 73209
660488        0xA1408         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1012c00, 9200-04-31, rev 0x4000400, size 327680
660550        0xA1446         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1012c01, 8600-02-31, rev 0x2000200, size 184877056
660639        0xA149F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 26215040
660674        0xA14C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
660727        0xA14F7         Intel x86 or x64 microcode, sig 0x0190888f, pf_mask 0x31920004, 0400-07-04, size 73209
660744        0xA1508         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1012c00, 9200-04-31, rev 0x4000400, size 327680
660806        0xA1546         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1012c01, 8600-02-31, rev 0x2000200, size 184877056
660895        0xA159F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 26214933
660930        0xA15C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
660983        0xA15F7         Intel x86 or x64 microcode, sig 0x0155888f, pf_mask 0x31920004, 0400-07-04, size 73209
661151        0xA169F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 16777671
661186        0xA16C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
661239        0xA16F7         Intel x86 or x64 microcode, sig 0x0140888f, pf_mask 0x31920004, 0400-07-04, size 73209
661407        0xA179F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 15729066
661495        0xA17F7         Intel x86 or x64 microcode, sig 0x0140888f, pf_mask 0x31920004, 0400-07-04, size 73209
